"source_repository","source_path","disposition","logical_path","canonical_path","sha256"
"OT-detection-program","02-detection/domains/D-sensor-voting-integrity.md","included","02-detection/domains/D-sensor-voting-integrity.md","02-detection/domains/D-sensor-voting-integrity.md","67470de46b8c8c7191719cb4eb5610c123436838ac6995ee09aab255da97cb85"
"OT-detection-program","02-detection/domains/E-bypass-override.md","included","02-detection/domains/E-bypass-override.md","02-detection/domains/E-bypass-override.md","992cba9cd05c1c81a2dedb688110ca0deb33c0ba213d5b153918767d044e7678"
"OT-detection-program","02-detection/domains/F-availability-diagnostics.md","included","02-detection/domains/F-availability-diagnostics.md","02-detection/domains/F-availability-diagnostics.md","14dc60a82ee77a9341b154996c92e950de25efc2eccaed77cd7c60a913cba68e"
"OT-detection-program","02-detection/domains/perimeter-01-network-perimeter-dos.md","included","02-detection/domains/perimeter-01-network-perimeter-dos.md","02-detection/domains/perimeter-01-network-perimeter-dos.md","2e044944e91d5ddc7516f6da8ce549258a04838c425692e9342661251b040d25"
"OT-detection-program","02-detection/domains/perimeter-02-identity-account.md","included","02-detection/domains/perimeter-02-identity-account.md","02-detection/domains/perimeter-02-identity-account.md","00bb4764f7f4e25841524af49fa77c1305b0c470e789ad60024f4ace52ff9708"
"OT-detection-program","02-detection/domains/perimeter-03-endpoint-windows-edr.md","included","02-detection/domains/perimeter-03-endpoint-windows-edr.md","02-detection/domains/perimeter-03-endpoint-windows-edr.md","41f3b3db690551265094c1ab5b02af781cb2ffcf6098901a720218dd06a5cb40"
"OT-detection-program","02-detection/domains/perimeter-04-east-west-lateral.md","included","02-detection/domains/perimeter-04-east-west-lateral.md","02-detection/domains/perimeter-04-east-west-lateral.md","fd3793ad7ba4713488b8d6f308947dae395b978fe514d9198e739cae12bc2b48"
"OT-detection-program","02-detection/domains/perimeter-05-traffic-outliers-dns.md","included","02-detection/domains/perimeter-05-traffic-outliers-dns.md","02-detection/domains/perimeter-05-traffic-outliers-dns.md","7324397983f2e760fa657cbfb52c8dc81709f3d5eaa5cf12417cdb1ea89b2124"
"OT-detection-program","02-detection/domains/perimeter-06-scanning-webapp.md","included","02-detection/domains/perimeter-06-scanning-webapp.md","02-detection/domains/perimeter-06-scanning-webapp.md","cfae9330c36b5c43b87e012671e64be5e63dffab2c153aa7153a093597588a93"
"OT-detection-program","02-detection/domains/perimeter-07-prohibited-traffic.md","included","02-detection/domains/perimeter-07-prohibited-traffic.md","02-detection/domains/perimeter-07-prohibited-traffic.md","4d3fb70df3d61d70d2b1377ed06a34558fc26848eb8a99ce1c98157c30a37536"
"OT-detection-program","02-detection/domains/protocol-ndr-overview.md","included","02-detection/domains/protocol-ndr-overview.md","02-detection/domains/protocol-ndr-overview.md","5d24955b2e11c2ca8634b00b20fa1ea665bf8a0f8c2babf9983c4ab69875753c"
"OT-detection-program","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/detection.yml","included","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/detection.yml","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/detection.yml","99ed5a34d77e3f336af9c3edb31023dc349d1cbad97f7541a49cf5ca728379a7"
"OT-detection-program","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/README.md","included","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/README.md","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/README.md","9cff00de9d94b92d9d9b6dbd3070a4bdb4e15b492a6795b741470a795f11bbdc"
"OT-detection-program","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/sentinel.kql","included","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/sentinel.kql","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/sentinel.kql","bd9b6dac409942bf73e8cad47d6883ab0719806b29e64dc311b583fadd8ef93e"
"OT-detection-program","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/splunk.spl","included","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/splunk.spl","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/splunk.spl","263b56a61b2c5169f7663bc1fc5ec9c16fc1864dabf4b1b6ca8259fd75f7b062"
"OT-detection-program","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/validation.md","included","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/validation.md","02-detection/historian/A-statistical-envelope/A01-tag-out-of-envelope/validation.md","da84c1affa07df772eb5b9ffb556218eb83473c205a0466e5e4477d9e5f7f069"
"OT-detection-program","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/detection.yml","included","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/detection.yml","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/detection.yml","97761f8fc5482a9d9f6d95e8dc1775ae727514dd8a07c5eafb2e425f5beddfc6"
"OT-detection-program","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/README.md","included","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/README.md","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/README.md","31b9ea3824add064c5073c330ed8696ecd1156fd4205d8c2edfc2ba7e423e24f"
"OT-detection-program","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/sentinel.kql","included","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/sentinel.kql","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/sentinel.kql","1aa878118defc8cccd3825323b7c67ed6ceff2da3dd57cdbf3b02f9968372771"
"OT-detection-program","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/splunk.spl","included","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/splunk.spl","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/splunk.spl","d575c3f1d604af535dc7252fa92ed939bad86ec8a11f085999c84a6c34e571d9"
"OT-detection-program","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/validation.md","included","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/validation.md","02-detection/historian/B-setpoint-control/B01-setpoint-outside-range/validation.md","3933a82605c9996e4d6bef4ad8914a398d864f15eb8833258db344a123f35612"
"OT-detection-program","02-detection/historian/C-replay-stale/C01-frozen-value-replay/detection.yml","included","02-detection/historian/C-replay-stale/C01-frozen-value-replay/detection.yml","02-detection/historian/C-replay-stale/C01-frozen-value-replay/detection.yml","ed6346e92b27a8cec7ab1353a9214f7a422476a8d64e1d48ad532edb92efd0c7"
"OT-detection-program","02-detection/historian/C-replay-stale/C01-frozen-value-replay/README.md","included","02-detection/historian/C-replay-stale/C01-frozen-value-replay/README.md","02-detection/historian/C-replay-stale/C01-frozen-value-replay/README.md","9ca96597f9baf78680729d15fcc387e9166c76ae1b1df792edd4c078450872d0"
